gender,indicator_name,country_name,year,mean_age
men,Mean age of men at first marriage,Albania,2005,28.5
men,Mean age of men at first marriage,Albania,2006,28.5
men,Mean age of men at first marriage,Albania,2007,27.7
men,Mean age of men at first marriage,Albania,2008,28.1
men,Mean age of men at first marriage,Albania,2009,29.2
men,Mean age of men at first marriage,Albania,2010,29.2
men,Mean age of men at first marriage,Albania,2011,30.2
men,Mean age of men at first marriage,Albania,2012,30.2
men,Mean age of men at first marriage,Albania,2013,30.3
men,Mean age of men at first marriage,Albania,2014,30.5
men,Mean age of men at first marriage,Albania,2015,30.6
men,Mean age of men at first marriage,Albania,2016,31.3
men,Mean age of men at first marriage,Albania,2017,31
men,Mean age of men at first marriage,Albania,2018,31
men,Mean age of men at first marriage,Albania,2019,30.9
men,Mean age of men at first marriage,Albania,2020,NA
men,Mean age of men at first marriage,Andorra,2005,NA
men,Mean age of men at first marriage,Andorra,2006,NA
men,Mean age of men at first marriage,Andorra,2007,NA
men,Mean age of men at first marriage,Andorra,2008,NA
men,Mean age of men at first marriage,Andorra,2009,NA
men,Mean age of men at first marriage,Andorra,2010,NA
men,Mean age of men at first marriage,Andorra,2011,32.7
men,Mean age of men at first marriage,Andorra,2012,32.9
men,Mean age of men at first marriage,Andorra,2013,33.6
men,Mean age of men at first marriage,Andorra,2014,34.4
men,Mean age of men at first marriage,Andorra,2015,34.7
men,Mean age of men at first marriage,Andorra,2016,34.5
men,Mean age of men at first marriage,Andorra,2017,35.5
men,Mean age of men at first marriage,Andorra,2018,36
men,Mean age of men at first marriage,Andorra,2019,35.6
men,Mean age of men at first marriage,Andorra,2020,NA
men,Mean age of men at first marriage,Armenia,2005,28
men,Mean age of men at first marriage,Armenia,2006,28.2
men,Mean age of men at first marriage,Armenia,2007,28.3
men,Mean age of men at first marriage,Armenia,2008,28.4
men,Mean age of men at first marriage,Armenia,2009,28.1
men,Mean age of men at first marriage,Armenia,2010,28.4
men,Mean age of men at first marriage,Armenia,2011,29
men,Mean age of men at first marriage,Armenia,2012,28.8
men,Mean age of men at first marriage,Armenia,2013,29.1
men,Mean age of men at first marriage,Armenia,2014,29.4
men,Mean age of men at first marriage,Armenia,2015,29.4
men,Mean age of men at first marriage,Armenia,2016,29.6
men,Mean age of men at first marriage,Armenia,2017,29.9
men,Mean age of men at first marriage,Armenia,2018,30.1
men,Mean age of men at first marriage,Armenia,2019,30.5
men,Mean age of men at first marriage,Armenia,2020,NA
men,Mean age of men at first marriage,Austria,2005,30.9
men,Mean age of men at first marriage,Austria,2006,31.4
men,Mean age of men at first marriage,Austria,2007,31.6
men,Mean age of men at first marriage,Austria,2008,31.7
men,Mean age of men at first marriage,Austria,2009,31.8
men,Mean age of men at first marriage,Austria,2010,31.9
men,Mean age of men at first marriage,Austria,2011,32
men,Mean age of men at first marriage,Austria,2012,32.2
men,Mean age of men at first marriage,Austria,2013,32.2
men,Mean age of men at first marriage,Austria,2014,32.4
men,Mean age of men at first marriage,Austria,2015,32.6
men,Mean age of men at first marriage,Austria,2016,32.6
men,Mean age of men at first marriage,Austria,2017,32.7
men,Mean age of men at first marriage,Austria,2018,32.8
men,Mean age of men at first marriage,Austria,2019,33
men,Mean age of men at first marriage,Austria,2020,NA
men,Mean age of men at first marriage,Azerbaijan,2005,27.5
men,Mean age of men at first marriage,Azerbaijan,2006,27.5
men,Mean age of men at first marriage,Azerbaijan,2007,27.4
men,Mean age of men at first marriage,Azerbaijan,2008,27.3
men,Mean age of men at first marriage,Azerbaijan,2009,27.3
men,Mean age of men at first marriage,Azerbaijan,2010,27.3
men,Mean age of men at first marriage,Azerbaijan,2011,27.6
men,Mean age of men at first marriage,Azerbaijan,2012,27.6
men,Mean age of men at first marriage,Azerbaijan,2013,27.7
men,Mean age of men at first marriage,Azerbaijan,2014,27.6
men,Mean age of men at first marriage,Azerbaijan,2015,27.5
men,Mean age of men at first marriage,Azerbaijan,2016,27.6
men,Mean age of men at first marriage,Azerbaijan,2017,27.6
men,Mean age of men at first marriage,Azerbaijan,2018,27.7
men,Mean age of men at first marriage,Azerbaijan,2019,28.1
men,Mean age of men at first marriage,Azerbaijan,2020,NA
men,Mean age of men at first marriage,Belarus,2005,25.7
men,Mean age of men at first marriage,Belarus,2006,25.8
men,Mean age of men at first marriage,Belarus,2007,25.9
men,Mean age of men at first marriage,Belarus,2008,26
men,Mean age of men at first marriage,Belarus,2009,26.4
men,Mean age of men at first marriage,Belarus,2010,26.5
men,Mean age of men at first marriage,Belarus,2011,26.6
men,Mean age of men at first marriage,Belarus,2012,26.7
men,Mean age of men at first marriage,Belarus,2013,27.1
men,Mean age of men at first marriage,Belarus,2014,27.4
men,Mean age of men at first marriage,Belarus,2015,27.5
men,Mean age of men at first marriage,Belarus,2016,27.8
men,Mean age of men at first marriage,Belarus,2017,27.9
men,Mean age of men at first marriage,Belarus,2018,28.1
men,Mean age of men at first marriage,Belarus,2019,28.3
men,Mean age of men at first marriage,Belarus,2020,NA
men,Mean age of men at first marriage,Belgium,2005,29.8
men,Mean age of men at first marriage,Belgium,2006,30.3
men,Mean age of men at first marriage,Belgium,2007,30.4
men,Mean age of men at first marriage,Belgium,2008,30.8
